Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
Van Ar K,10,156.416666667,17,11,118,31,61,47,50,11,5,6,0,0,0,1,5,2,1,0,San Jose Spiders2015  
Klevec A,6,94.5666666667,12,4,64,17,12,11,12,0,0,0,0,0,0,0,0,0,0,0,San Jose Spiders2015  
Anonymous,1,0.0,0,0,0,0,264,22,3,0,0,17,0,0,0,0,0,0,0,0,San Jose Spiders2015  
Cocks K,14,227.483333333,23,13,180,43,95,88,86,9,8,0,0,0,0,1,12,0,0,0,San Jose Spiders2015  
Ham S,16,352.916666667,173,127,99,42,192,145,140,51,9,1,0,0,0,0,5,0,0,0,San Jose Spiders2015  
Crawfo M,12,185.133333333,7,2,143,42,61,58,53,8,11,17,0,0,0,0,7,0,0,0,San Jose Spiders2015  
Roeder S,3,39.0166666667,40,35,1,1,25,34,16,2,1,0,0,0,0,0,2,0,0,0,San Jose Spiders2015  
Reinha S,8,95.25,4,0,74,18,19,15,15,4,1,0,0,0,0,0,0,0,0,0,San Jose Spiders2015  
Marcy J,15,414.633333333,152,110,116,49,301,379,276,5,18,2,0,0,0,1,11,5,0,2,San Jose Spiders2015  
Norden J,9,241.766666667,140,96,44,11,191,223,177,5,13,0,0,0,0,0,14,3,0,1,San Jose Spiders2015  
Jaffe M,12,156.033333333,9,3,151,41,51,57,47,3,5,9,0,0,0,0,4,0,1,0,San Jose Spiders2015  
Higgin S,13,393.283333333,233,179,45,24,254,210,208,46,38,1,0,0,0,0,24,2,0,0,San Jose Spiders2015  
Sanche M,17,544.983333333,327,232,73,32,380,351,339,38,46,0,0,0,0,3,25,2,1,0,San Jose Spiders2015  
Rasmus C,12,439.716666667,207,140,95,35,390,440,360,22,18,17,0,0,0,0,29,5,0,0,San Jose Spiders2015  
Peters B,13,184.333333333,9,4,143,37,62,66,52,10,4,0,0,0,0,0,12,1,0,0,San Jose Spiders2015  
Smith K,17,346.866666667,151,108,135,46,238,326,213,4,35,28,6.65825,0,0,0,27,4,0,0,San Jose Spiders2015  
Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
,1,1.16666666667,1,1,6,0,0,182,0,0,0,0,0,0,0,0,182,0,0,0,Cincinnati Revolution2015  
North K,12,220.95,34,17,161,30,95,91,87,6,13,21,5.49023809524,0,0,0,10,3,3,0,Cincinnati Revolution2015  
Grand C,14,367.083333333,159,88,131,20,257,242,232,17,18,14,5.84192857143,0,0,0,26,3,0,0,Cincinnati Revolution2015  
Harde C,9,276.466666667,120,71,64,13,124,98,98,23,11,0,0,0,0,0,11,4,0,0,Cincinnati Revolution2015  
Huffer W,13,299.65,121,67,84,17,177,183,153,14,13,27,6.06811538462,0,0,0,26,3,1,0,Cincinnati Revolution2015  
T Phil,1,9.16666666667,13,4,1,0,10,11,7,0,1,0,0,0,0,0,0,0,0,0,Cincinnati Revolution2015  
